Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
4corners_neighborhoods.net.xml-test-0-Iteration-18,duaIterate,Micro-DUE.9.5,1308,170653,170.653,531,1000,1000,0,0,685.4835477,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-19,duaIterate,Macro-DUE.9.5,1334,178250,178.25,742,1000,1000,0,0,0.203376532,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-19,duaIterate,Meso-DUE.9.5,1652,291320,291.32,1197,1000,1000,0,0,34.19333625,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-19,duaIterate,Micro-DUE.9.5,1268,169837,169.837,472,1000,1000,0,0,685.4835477,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-2,duaIterate,Macro-DUE.9.5,1337,180536,180.536,796,1000,1000,0,0,0.187487125,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-2,duaIterate,Meso-DUE.9.5,1640,284720,284.72,1247,1000,1000,0,0,34.19333625,1,3,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-2,duaIterate,Micro-DUE.9.5,1359,201501,201.501,753,1000,1000,0,0,685.4835477,0,2,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-20,duaIterate,Macro-DUE.9.5,1299,170887,170.887,662,1000,1000,0,0,0.183003902,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-20,duaIterate,Meso-DUE.9.5,1652,291320,291.32,1197,1000,1000,0,0,34.19333625,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-20,duaIterate,Micro-DUE.9.5,1323,174058,174.058,520,1000,1000,0,0,685.4835477,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-21,duaIterate,Macro-DUE.9.5,1314,172067,172.067,494,1000,1000,0,0,0.183259964,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-21,duaIterate,Meso-DUE.9.5,1652,291320,291.32,1197,1000,1000,0,0,34.19333625,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-21,duaIterate,Micro-DUE.9.5,1332,174950,174.95,483,1000,1000,0,0,685.4835477,0,1,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-22,duaIterate,Macro-DUE.9.5,1293,173046,173.046,709,1000,1000,0,0,0.205134869,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-22,duaIterate,Meso-DUE.9.5,1652,291320,291.32,1197,1000,1000,0,0,34.19333625,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-22,duaIterate,Micro-DUE.9.5,1273,168569,168.569,461,1000,1000,0,0,685.4835477,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-23,duaIterate,Macro-DUE.9.5,1288,169928,169.928,702,1000,1000,0,0,0.184682369,0,0,0,0,0
4corners_neighborhoods.net.xml-test-0-Iteration-23,duaIterate,Meso-DUE.9.5,1652,291320,291.32,1197,1000,1000,0,0,34.19333625,0,0,0,0,0
