Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-1,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-2,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-3,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-4,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-5,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-6,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-7,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-8,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-9,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-10,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-11,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-12,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-13,duaIterate,Meso-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
