Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
Random_English.net.xml-test_R-0-Iteration-0,duaIterate,Meso-DUE.9.5,1343.00,178723.0,178.723,458.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-1,duaIterate,Meso-DUE.9.5,1345.00,178170.0,178.17,460.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-2,duaIterate,Meso-DUE.9.5,1352.00,177735.0,177.735,471.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-3,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-4,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-5,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-6,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-7,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-8,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-9,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-10,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-11,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-12,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-13,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-14,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-15,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-16,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-17,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-18,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-19,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-20,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
